quotes,authors,categories
He has a profound respect for old age. Especially when it's bottled.,Gene Fowler,Age
You know you're getting old when all the names in your black book have M. D. after them.,Harrison Ford,Age
It is sad to grow old but nice to ripen.,Brigitte Bardot,Age
We should so provide for old age that it may have no urgent wants of this world to absorb it from meditation on the next. It is awful to see the lean hands of dotage making a coffer of the grave.,Pearl S. Buck,Age
To be renewed is everything. What more could one ask for than to have one's youth back again?,George Lucas,Age
"I think women should start to embrace their age. What's the alternative to getting older? You die. I can't change the day I was born. But I can take care of my skin, my body, my mind, and try to live my life and be happy.",Olivia Munn,Age
"Middle age is youth without levity, and age without decay.",Doris Day,Age
Old age is the most unexpected of all the things that can happen to a man.,James Thurber,Age
"I find that a man is as old as his work. If his work keeps him from moving forward, he will look forward with the work.",William Ernest Hocking,Age
"As we grow older, our bodies get shorter and our anecdotes longer.",Robert Quillen,Age
A man knows when he is growing old because he begins to look like his father.,Gabriel Garcia Marquez,Age
"The denunciation of the young is a necessary part of the hygiene of older people, and greatly assists the circulation of the blood.",Logan Pearsall Smith,Age
The aging process has you firmly in its grasp if you never get the urge to throw a snowball.,Doug Larson,Age
"Forty is the old age of youth, fifty is the youth of old age.",Hosea Ballou,Age
The answer to old age is to keep one's mind busy and to go on with one's life as if it were interminable. I always admired Chekhov for building a new house when he was dying of tuberculosis.,Leon Edel,Age
I think your whole life shows in your face and you should be proud of that.,Lauren Bacall,Age
Old age is an excellent time for outrage. My goal is to say or do at least one outrageous thing every week.,Louis Kronenberger,Age
"Whenever I go to New York or any European country, they say: 'Nawal, why don't you get a facelift?' I tell them, 'I am proud of my wrinkles. Every wrinkle on my face tells the story of my life. Why should I hide my age?'",Nawal El Saadawi,Age
Age is not a particularly interesting subject. Anyone can get old. All you have to do is live long enough.,Don Marquis,Age
Middle age is the awkward period when Father Time starts catching up with Mother Nature.,Harold Coffin,Age
The surest sign of age is loneliness.,Annie Dillard,Age
One of the many things nobody ever tells you about middle age is that it's such a nice change from being young.,William Feather,Age
"The great secret that all old people share is that you really haven't changed in seventy or eighty years. Your body changes, but you don't change at all. And that, of course, causes great confusion.",Doris Lessing,Age
"You can't help getting older, but you don't have to get old.",George Burns,Age
"You end up as you deserve. In old age you must put up with the face, the friends, the health, and the children you have earned.",Judith Viorst,Age
"When I turned 60, it didn't bother me at all.",Yoko Ono,Age
"Whatever poet, orator or sage may say of it, old age is still old age.",Sinclair Lewis,Age
I get all fired up about aging in America.,Willard Scott,Age
Youth is when you're allowed to stay up late on New Year's Eve. Middle age is when you're forced to.,Bill Vaughan,Age
"To resist the frigidity of old age, one must combine the body, the mind, and the heart. And to keep these in parallel vigor one must exercise, study, and love.",Alan Bleasdale,Age
"I don't want to fight aging; I want to take good care of myself, but plastic surgery and all that? I'm not interested.",Christine Lahti,Age
You should never reveal your true age.,Eve Arnold,Age
"The tendency of old age to the body, say the physiologists, is to form bone. It is as rare as it is pleasant to meet with an old man whose opinions are not ossified.",Bob Wells,Age
"Old age adds to the respect due to virtue, but it takes nothing from the contempt inspired by vice; it whitens only the hair.",Ira Gershwin,Age
Age is how we determine how valuable you are.,Jane Elliot,Age
A woman telling her true age is like a buyer confiding his final price to an Armenian rug dealer.,Mignon McLaughlin,Age
"To keep the heart unwrinkled, to be hopeful, kindly, cheerful, reverent that is to triumph over old age.",Amos Bronson Alcott,Age
"When I was as you are now, towering in the confidence of twenty-one, little did I suspect that I should be at forty-nine, what I now am.",Sarah Orne Jewett,Age
No man is ever old enough to know better.,Holbrook Jackson,Age
"My notion of a wife at 40 is that a man should be able to change her, like a bank note, for two 20s.",Warren Beatty,Age
"My first recognition of age setting in was exactly on my 36th birthday. I have no idea why, on this day of all days, I looked in the mirror and realized my face no longer looked young.",Paulina Porizkova,Age
"Youth is in a grand flush, like the hot days of ending summer; and pleasant dreams thrall your spirit, like the smoky atmosphere that bathes the landscape of an August day.",Donald G. Mitchell,Age
The whole business of marshaling one's energies becomes more and more important as one grows older.,Hume Cronyn,Age
I'm not afraid of aging.,Shelley Duvall,Age
"As you age naturally, your family shows more and more on your face. If you deny that, you deny your heritage.",Frances Conroy,Age
"At 19, everything is possible and tomorrow looks friendly.",Jim Bishop,Age
The real sadness of fifty is not that you change so much but that you change so little.,Max Lerner,Age
"Youth does not require reasons for living, it only needs pretexts.",Jose Ortega y Gasset,Age
We've put more effort into helping folks reach old age than into helping them enjoy it.,Frank A. Clark,Age
The shades of respectability begin to close about the greying head.,Mason Cooley,Age
"After you're older, two things are possibly more important than any others: health and money.",Helen Gurley Brown,Age
Wrinkles should merely indicate where smiles have been.,Mark Twain,Age
The lovely thing about being forty is that you can appreciate twenty-five-year-old men more.,Colleen McCullough,Age
"When grace is joined with wrinkles, it is adorable. There is an unspeakable dawn in happy old age.",Victor Hugo,Age
What makes old age so sad is not that our joys but our hopes cease.,Jean Paul,Age
Retirement at sixty-five is ridiculous. When I was sixty-five I still had pimples.,George Burns,Age
"I will never be an old man. To me, old age is always 15 years older than I am.",Francis Bacon,Age
A woman must make her fortune before she is 30; or work after she is 30; or get married.,Anna Held,Age
"We were never supposed to live until 40. We were built to self-destruct at 30, whether from cancer or mental illness. We're all going way beyond our expiration date.",Douglas Coupland,Age
"Every man desires to live long, but no man wishes to be old.",Jonathan Swift,Age
"To me, old age is always fifteen years older than I am.",Bernard Baruch,Age
"All diseases run into one, old age.",Ralph Waldo Emerson,Age
Nature gives you the face you have at twenty; it is up to you to merit the face you have at fifty.,Coco Chanel,Age
Every man over forty is a scoundrel.,George Bernard Shaw,Age
Middle age is when your age starts to show around your middle.,Bob Hope,Age
Old age has deformities enough of its own. It should never add to them the deformity of vice.,Eleanor Roosevelt,Age
"Bashfulness is an ornament to youth, but a reproach to old age.",Aristotle,Age
How incessant and great are the ills with which a prolonged old age is replete.,C. S. Lewis,Age
"What most persons consider as virtue, after the age of 40 is simply a loss of energy.",Voltaire,Age
"You are as young as your self-confidence, as old as your fears; as young as your hope, as old as your despair.",Samuel Ullman,Age
