quotes,authors,categories
"God creates out of nothing. Wonderful you say. Yes, to be sure, but he does what is still more wonderful: he makes saints out of sinners.",Soren Kierkegaard,God
"The Christian life is not a constant high. I have my moments of deep discouragement. I have to go to God in prayer with tears in my eyes, and say, 'O God, forgive me,' or 'Help me.'",Billy Graham,God
"O Holy Spirit, descend plentifully into my heart. Enlighten the dark corners of this neglected dwelling and scatter there Thy cheerful beams.",Saint Augustine,God
"A man can no more diminish God's glory by refusing to worship Him than a lunatic can put out the sun by scribbling the word, 'darkness' on the walls of his cell.",C. S. Lewis,God
God does not play dice.,Albert Einstein,God
"I don't stand for the black man's side, I don' t stand for the white man's side. I stand for God's side.",Bob Marley,God
"What I see in the Bible, especially in the book of Psalms, which is a book of gratitude for the created world, is a recognition that all good things on Earth are God's, every good gift is from above. They are good if we recognize where they came from and if we treat them the way the Designer intended them to be treated.",Philip Yancey,God
God is creating at every moment of the world's existence in and through the perpetually endowed creativity of the very stuff of the world.,Arthur Peacocke,God
I think that anything that begins to give people a sense of their own worth and dignity is God.,John Shelby Spong,God
"The moment I have realized God sitting in the temple of every human body, the moment I stand in reverence before every human being and see God in him - that moment I am free from bondage, everything that binds vanishes, and I am free.",Swami Vivekananda,God
One must be very particular about telling the truth. Through truth one can realize God.,Ramakrishna,God
"If God did not exist, it would be necessary to invent Him.",Voltaire,God
"Behold, I stand at the door and knock. If anyone hears my voice and opens the door, I will come in to him and eat with him, and he with me.",Jesus Christ,God
Before we can know God and understand his great plan it is first necessary for us to believe that he exists and that he rewards all who diligently seek him.,Joseph Franklin Rutherford,God
"Our heavenly Father understands our disappointment, suffering, pain, fear, and doubt. He is always there to encourage our hearts and help us understand that He's sufficient for all of our needs. When I accepted this as an absolute truth in my life, I found that my worrying stopped.",Charles Stanley,God
I want to know all Gods thoughts; all the rest are just details.,Albert Einstein,God
God is best known in not knowing him.,Saint Augustine,God
Sometimes you ask God for something and you don't know what you're asking.,Mahalia Jackson,God
"God writes the Gospel not in the Bible alone, but also on trees, and in the flowers and clouds and stars.",Martin Luther,God
"If thou desire the love of God and man, be humble, for the proud heart, as it loves none but itself, is beloved of none but itself. Humility enforces where neither virtue, nor strength, nor reason can prevail.",Francis Quarles,God
"While I know myself as a creation of God, I am also obligated to realize and remember that everyone else and everything else are also God's creation.",Maya Angelou,God
God lends a helping hand to the man who tries hard.,Aeschylus,God
"God moves in a mysterious way, His wonders to perform. He plants his footsteps in the sea, and rides upon the storm.",William Cowper,God
"If God can work through me, he can work through anyone.",Francis of Assisi,God
"I believe in God, but not as one thing, not as an old man in the sky. I believe that what people call God is something in all of us. I believe that what Jesus and Mohammed and Buddha and all the rest said was right. It's just that the translations have gone wrong.",John Lennon,God
"Before me, even as behind, God is, and all is well.",John Greenleaf Whittier,God
"We should always look upon ourselves as God's servants, placed in God's world, to do his work; and accordingly labour faithfully for him; not with a design to grow rich and great, but to glorify God, and do all the good we possibly can.",David Brainerd,God
"God, from a beautiful necessity, is Love.",Martin Farquhar Tupper,God
"Material possessions, winning scores, and great reputations are meaningless in the eyes of the Lord, because He knows what we really are and that is all that matters.",John Wooden,God
At the cross God wrapped his heart in flesh and blood and let it be nailed to the cross for our redemption.,E. Stanley Jones,God
"God is in the sadness and the laughter, in the bitter and the sweet.",Neale Donald Walsch,God
A thick skin is a gift from God.,Konrad Adenauer,God
"God, I can push the grass apart and lay my finger on Thy heart.",Edna St. Vincent Millay,God
He was a wise man who originated the idea of God.,Euripides,God
"There is nothing unpremeditated, nothing neglected by God. His unsleeping eye beholds all things.",Saint Basil,God
Sometimes God writes straightforward in twisted lines.,Gloria Trevi,God
But I know God has big stuff planned that ultimately doesn't have anything to do with me.,Michael W. Smith,God
"Since God knows our future, our personalities, and our capacity to listen, He isn't ever going to say more to us than we can deal with at the moment.",Charles Stanley,God
"Since His delights are to be with you, let yours be found in Him.",Alphonsus Liguori,God
It is only the impossible that is possible for God. He has given over the possible to the mechanics of matter and the autonomy of his creatures.,Simone Weil,God
"Each atom of the Holy Spirit is intelligent, and like all other matter has solidity, form, and size, and occupies space.",Orson Pratt,God
The blame is his who chooses: God is blameless.,Plato,God
"There is no work, however vile or sordid, that does not glisten before God.",John Calvin,God
Human beings should be held accountable. Leave God alone. He has enough problems.,Elie Wiesel,God
"For it pleased God, after he had made all things by the word of his power, to create man after his own image.",George Whitefield,God
God will never reject you. Whether you accept Him is your decision.,Charles Stanley,God
"Knowledge of God's Word is a bulwark against deception, temptation, accusation, even persecution.",Edwin Louis Cole,God
Many are the names of God and infinite the forms through which He may be approached.,Ramakrishna,God
God hangs the greatest weights upon the smallest wires.,Francis Bacon,God
"When it is a question of God's almighty Spirit, never say, 'I can't.'",Oswald Chambers,God
"God, as Truth, has been for me a treasure beyond price. May He be so to every one of us.",Mahatma Gandhi,God
"God is looking for people to use, and if you can get usable, he will wear you out. The most dangerous prayer you can pray is this: 'Use me.'",Rick Warren,God
God will use whatever he wants to display his glory. Heavens and stars. History and nations. People and problems.,Max Lucado,God
"When trouble comes, focus on God's ability to care for you.",Charles Stanley,God
Every creature is a word of God.,Meister Eckhart,God
"However many blessings we expect from God, His infinite liberality will always exceed all our wishes and our thoughts.",John Calvin,God
"After all, God is God because he remembers.",Elie Wiesel,God
"All men are born with a nose and five fingers, but no one is born with a knowledge of God.",Voltaire,God
"I found thee not, O Lord, without, because I erred in seeking thee without that wert within.",Saint Augustine,God
Only God can look at somebody's heart.,Joel Osteen,God
"If you must be mad, be it not for the things of the world. Be mad with the love of God.",Ramakrishna,God
Adoration is caring for God above all else.,Evelyn Underhill,God
God in His wisdom has decided that He will reward no works but His own.,Johannes Tauler,God
In myself I am nothing. It all comes from God and the Virgin Mary.,Lech Walesa,God
My message is that God is a good God.,Joel Osteen,God
"God is, even though the whole world deny him. Truth stands, even if there be no public support. It is self-sustained.",Mahatma Gandhi,God
I've said all along that God is in control.,Tony Dungy,God
The way to be with God in every season is to strive to be near Him every week and each day.,Thomas S. Monson,God
Nobody talks so constantly about God as those who insist that there is no God.,Heywood Broun,God
We are made to know and love God.,Nicolas Malebranche,God
"Praise God, from whom all blessings flow! Praise Him, all creatures here below! Praise Him above, ye heavenly host! Praise Father, Son, and Holy Ghost!",Thomas Ken,God
I just find myself happy with the simple things. Appreciating the blessings God gave me.,DMX,God
"He who learns must suffer. And even in our sleep pain that cannot forget falls drop by drop upon the heart, and in our own despair, against our will, comes wisdom to us by the awful grace of God.",Aeschylus,God
"Never lose an opportunity of seeing anything beautiful, for beauty is God's handwriting.",Ralph Waldo Emerson,God
Pray as though everything depended on God. Work as though everything depended on you.,Saint Augustine,God
"God made me the way I am, and I accept myself. I am who I am, and I'm proud of myself.",Caster Semenya,God
"I would rather live my life as if there is a God and die to find out there isn't, than live as if there isn't and to die to find out that there is.",Albert Camus,God
"In the first place, God made idiots. That was for practice. Then he made school boards.",Mark Twain,God
"God grant me the serenity to accept the things I cannot change, the courage to change the things I can, and the wisdom to know the difference.",Reinhold Niebuhr,God
"For where God built a church, there the Devil would also build a chapel.",Martin Luther,God
Your talent is God's gift to you. What you do with it is your gift back to God.,Leo Buscaglia,God
Whosoever is delighted in solitude is either a wild beast or a god.,Aristotle,God
"I may not be where I want to be, but thank God I am not where I used to be.",Joyce Meyer,God
"You don't choose your family. They are God's gift to you, as you are to them.",Desmond Tutu,God
"When I stand before God at the end of my life, I would hope that I would not have a single bit of talent left, and could say, 'I used everything you gave me'.",Erma Bombeck,God
"I speak Spanish to God, Italian to women, French to men, and German to my horse.",Charles V,God
"If we ever forget that we are One Nation Under God, then we will be a nation gone under.",Ronald Reagan,God
Talent is God given. Be humble. Fame is man-given. Be grateful. Conceit is self-given. Be careful.,John Wooden,God
God does nothing except in response to believing prayer.,John Wesley,God
God gave us the gift of life; it is up to us to give ourselves the gift of living well.,Voltaire,God
"I wasn't really too hyped on religion. I don't really believe in a religion like that. I just believe that there is a God. There's just somebody up there that listens to me, and they can show me better if I talk to them and build a relationship with them.",NLE Choppa,God
I tremble for my country when I reflect that God is just; that his justice cannot sleep forever.,Thomas Jefferson,God
"God, our Creator, has stored within our minds and personalities, great potential strength and ability. Prayer helps us tap and develop these powers.",A. P. J. Abdul Kalam,God
"When you focus on being a blessing, God makes sure that you are always blessed in abundance.",Joel Osteen,God
Never be afraid to trust an unknown future to a known God.,Corrie Ten Boom,God
"God could not be everywhere, and therefore he made mothers.",Rudyard Kipling,God
God gives his hardest battles to his strongest soldiers.,DeMarcus Cousins,God
"I believe in God, only I spell it Nature.",Frank Lloyd Wright,God
"God cannot give us a happiness and peace apart from Himself, because it is not there. There is no such thing.",C. S. Lewis,God
Friends are the siblings God never gave us.,Mencius,God
"God lets everything happen for a reason. It's all a learning process, and you have to go from one level to another.",Mike Tyson,God
Mother is the name for God in the lips and hearts of little children.,William Makepeace Thackeray,God
"I am as bad as the worst, but, thank God, I am as good as the best.",Walt Whitman,God
It is foolish and wrong to mourn the men who died. Rather we should thank God that such men lived.,George S. Patton,God
"Stupidity is also a gift of God, but one mustn't misuse it.",Pope John Paul II,God
Man gives you the award but God gives you the reward.,Denzel Washington,God
Wine is constant proof that God loves us and loves to see us happy.,Benjamin Franklin,God
You cannot believe in God until you believe in yourself.,Swami Vivekananda,God
The best place to find God is in a garden. You can dig for him there.,George Bernard Shaw,God
God always gives His best to those who leave the choice with him.,Jim Elliot,God
"I do not feel obliged to believe that the same God who has endowed us with sense, reason, and intellect has intended us to forgo their use.",Galileo Galilei,God
"Throughout life people will make you mad, disrespect you and treat you bad. Let God deal with the things they do, cause hate in your heart will consume you too.",Will Smith,God
"Create like a god, command like a king, work like a slave.",Constantin Brancusi,God
"Someday, after mastering the winds, the waves, the tides and gravity, we shall harness for God the energies of love, and then, for a second time in the history of the world, man will have discovered fire.",Pierre Teilhard de Chardin,God
"It doesn't matter where you come from, what you have or don't have, what you lack, or what you have too much of. But all you need to have is faith in God, an undying passion for what you do and what you choose to do in this life, and a relentless drive and the will to do whatever it takes to be successful in whatever you put your mind to.",Stephen Curry,God
God's promises are all on condition of humble obedience.,Ellen G. White,God
"I distrust those people who know so well what God wants them to do, because I notice it always coincides with their own desires.",Susan B. Anthony,God
"Geography has made us neighbors. History has made us friends. Economics has made us partners, and necessity has made us allies. Those whom God has so joined together, let no man put asunder.",John F. Kennedy,God
"I give the fight up: let there be an end, a privacy, an obscure nook for me. I want to be forgotten even by God.",Robert Browning,God
"If you want to make God laugh, tell him about your plans.",Woody Allen,God
"Through hard work, perseverance and a faith in God, you can live your dreams.",Ben Carson,God
I'm blessed and I thank God for every day for everything that happens for me.,Lil Wayne,God
"I most certainly believe that it is the gift of God that I am what I am. And so I dwell amongst barbarians, a proselyte and an exile, for the love of God.",Saint Patrick,God
"Prayer does not change God, but it changes him who prays.",Soren Kierkegaard,God
Nature is the art of God.,Dante Alighieri,God
The aim and final end of all music should be none other than the glory of God and the refreshment of the soul.,Johann Sebastian Bach,God
"Beauty is mysterious as well as terrible. God and devil are fighting there, and the battlefield is the heart of man.",Fyodor Dostoevsky,God
"God is dead. God remains dead. And we have killed him. Yet his shadow still looms. How shall we comfort ourselves, the murderers of all murderers? What was holiest and mightiest of all that the world has yet owned has bled to death under our knives; who will wipe this blood off us? What water is there for us to clean ourselves?",Friedrich Nietzsche,God
