quotes,authors,categories
Bad laws are the worst sort of tyranny.,Edmund Burke,Legal
It is right to give every man his due.,Plato,Legal
Laws are the sovereigns of sovereigns.,Louis XIV,Legal
"The only real lawyers are trial lawyers, and trial lawyers try cases to juries.",Clarence Darrow,Legal
One with the law is a majority.,Calvin Coolidge,Legal
"Lawyers, I suppose, were children once.",Charles Lamb,Legal
Ignorance of the law excuses no man from practicing it.,Addison Mizner,Legal
"People are getting smarter nowadays; they are letting lawyers, instead of their conscience, be their guide.",Will Rogers,Legal
The law has no compassion. And justice is administered without compassion.,Christopher Darden,Legal
"If somebody invented cigarettes today, the government would not legalize them.",Loni Anderson,Legal
Lawyers are the first refuge of the incompetent.,Aaron Allston,Legal
Justice consists in doing no injury to men; decency in giving them no offense.,Marcus Tullius Cicero,Legal
"Justice is itself the great standing policy of civil society; and any eminent departure from it, under any circumstances, lies under the suspicion of being no policy at all.",Edmund Burke,Legal
To force a lawyer on a defendant can only lead him to believe that the law contrives against him.,Potter Stewart,Legal
"Yes, there's such a thing as luck in trial law but it only comes at 3 o'clock in the morning. You'll still find me in the library looking for luck at 3 o'clock in the morning.",Louis Nizer,Legal
"Frivolous lawsuits are booming in this county. The U.S. has more costs of litigation per person than any other industrialized nation in the world, and it is crippling our economy.",Jack Kingston,Legal
"I have been surrounded by some of the smartest, brightest, most caring lawyers, by agents who are willing to risk their lives for others, by support staff that are willing to work as hard as they can.",Janet Reno,Legal
"They don't need a lawyer, they need a toastmaster.",Edward Bennett Williams,Legal
"Laws, like houses, lean on one another.",Edmund Burke,Legal
The only people who benefit from lawsuits are lawyers. I think we made a couple of them rich.,Gavin Rossdale,Legal
I'm not sure I can say there is a clean line between me as an individual and me as a lawyer.,Anita Hill,Legal
"As a private lawyer, I could bill $750 an hour, but I don't.",Jay Alan Sekulow,Legal
I never saw a lawyer yet who would admit he was making money.,Mary Roberts Rinehart,Legal
