quotes,authors,categories
Sometimes poetry is inspired by the conversation entered into by reading other poems.,John Barton,Poetry
"Everything one invents is true, you may be perfectly sure of that. Poetry is as precise as geometry.",Gustave Flaubert,Poetry
"He could not die when trees were green, for he loved the time too well.",John Clare,Poetry
Poetry is the synthesis of hyacinths and biscuits.,Carl Sandburg,Poetry
"Poetry should... should strike the reader as a wording of his own highest thoughts, and appear almost a remembrance.",John Keats,Poetry
"A poet must be a psychologist, but a secret one: he should know and feel the roots of phenomena but present only the phenomena themselves in full bloom or as they fade away.",Ivan Turgenev,Poetry
Poets are the unacknowledged legislators of the world.,Percy Bysshe Shelley,Poetry
How do poems grow? They grow out of your life.,Robert Penn Warren,Poetry
Every single soul is a poem.,Michael Franti,Poetry
There is poetry as soon as we realize that we possess nothing.,John Cage,Poetry
"If Galileo had said in verse that the world moved, the inquisition might have let him alone.",Thomas Hardy,Poetry
Poetry is what gets lost in translation.,Robert Frost,Poetry
A poet's autobiography is his poetry. Anything else is just a footnote.,Yevgeny Yevtushenko,Poetry
I sometimes talk about the making of a poem within the poem.,Howard Nemerov,Poetry
All bad poetry springs from genuine feeling.,Oscar Wilde,Poetry
"If I read a book and it makes my whole body so cold no fire can ever warm me, I know that is poetry.",Emily Dickinson,Poetry
"You don't make a poem with ideas, but with words.",Stephane Mallarme,Poetry
Immature poets imitate; mature poets steal.,T. S. Eliot,Poetry
The poet doesn't invent. He listens.,Jean Cocteau,Poetry
Any healthy man can go without food for two days - but not without poetry.,Charles Baudelaire,Poetry
"Even when poetry has a meaning, as it usually has, it may be inadvisable to draw it out... Perfect understanding will sometimes almost extinguish pleasure.",A. E. Housman,Poetry
"The novel is born of disillusionment; the poem, of despair.",Jose Bergamin,Poetry
Poetry is that art which selects and arranges the symbols of thought in such a manner as to excite the imagination the most powerfully and delightfully.,William Cullen Bryant,Poetry
"The job of the poet is to render the world - to see it and report it without loss, without perversion. No poet ever talks about feelings. Only sentimental people do.",Mark Van Doren,Poetry
Usually a life turned into a poem is misrepresented.,Mark Strand,Poetry
"One will never again look at a birch tree, after the Robert Frost poem, in exactly the same way.",Paul Muldoon,Poetry
It may be said that poems are in one way like icebergs: only about a third of their bulk appears above the surface of the page.,Howard Nemerov,Poetry
"Pain is filtered in a poem so that it becomes finally, in the end, pleasure.",Mark Strand,Poetry
A poem might be defined as thinking about feelings - about human feelings and frailties.,Anne Stevenson,Poetry
Each memorable verse of a true poet has two or three times the written content.,Alfred de Musset,Poetry
"There'll always be working people in my poems because I grew up with them, and I am a poet of memory.",Philip Levine,Poetry
I like poems that are little games.,Peter Davison,Poetry
Poetry lies its way to the truth.,John Ciardi,Poetry
"Each word bears its weight, so you have to read my poems quite slowly.",Anne Stevenson,Poetry
Wanted: a needle swift enough to sew this poem into a blanket.,Charles Simic,Poetry
"I still read Donne, particularly his love poems.",Carol Ann Duffy,Poetry
"A poem can have an impact, but you can't expect an audience to understand all the nuances.",Douglas Dunn,Poetry
"If you read quickly to get through a poem to what it means, you have missed the body of the poem.",M. H. Abrams,Poetry
No poem is easily grasped; so why should any reader expect fast results?,John Barton,Poetry
"The poem is a little myth of man's capacity of making life meaningful. And in the end, the poem is not a thing we see-it is, rather, a light by which we may see-and what we see is life.",Robert Penn Warren,Poetry
The fact of the matter is that the most unexpected and miraculous thing in my life was the arrival in it of poetry itself - as a vocation and an elevation almost.,Seamus Heaney,Poetry
Everyone thinks they're going to write one book of poems or one novel.,Marilyn Hacker,Poetry
"Pure mathematics is, in its way, the poetry of logical ideas.",Albert Einstein,Poetry
Poetry and beauty are always making peace. When you read something beautiful you find coexistence; it breaks walls down.,Mahmoud Darwish,Poetry
Some people go to priests; others to poetry; I to my friends.,Virginia Woolf,Poetry
"If I feel physically as if the top of my head were taken off, I know that is poetry.",Emily Dickinson,Poetry
The poetry of the earth is never dead.,John Keats,Poetry
"If I feel physically as if the top of my head were taken off, I know that is poetry.",Emily Dickinson,Poetry
Poetry comes from the highest happiness or the deepest sorrow.,A. P. J. Abdul Kalam,Poetry
"Poetry has never been the language of barriers, it's always been the language of bridges.",Amanda Gorman,Poetry
"Poetry, fiction as novels or short stories - these are autonomous as created by their authors. They should stand on their own, like pieces of furniture that should be judged as to their usefulness, elegance.",F. Sionil Jose,Poetry
"Poetry is the lifeblood of rebellion, revolution, and the raising of consciousness.",Alice Walker,Poetry
"And New York is the most beautiful city in the world? It is not far from it. No urban night is like the night there... Squares after squares of flame, set up and cut into the aether. Here is our poetry, for we have pulled down the stars to our will.",Ezra Pound,Poetry
"To be born in Wales, not with a silver spoon in your mouth, but, with music in your blood and with poetry in your soul, is a privilege indeed.",Brian Harris,Poetry
"All religion, my friend, is simply evolved out of fraud, fear, greed, imagination, and poetry.",Edgar Allan Poe,Poetry
"Lean your body forward slightly to support the guitar against your chest, for the poetry of the music should resound in your heart.",Andres Segovia,Poetry
You campaign in poetry. You govern in prose.,Mario Cuomo,Poetry
"My subject is War, and the pity of War. The Poetry is in the pity.",Wilfred Owen,Poetry
"We especially need imagination in science. It is not all mathematics, nor all logic, but it is somewhat beauty and poetry.",Maria Mitchell,Poetry
Poetry is at least an elegance and at most a revelation.,Robert Fitzgerald,Poetry
"The true spirit of delight, the exaltation, the sense of being more than Man, which is the touchstone of the highest excellence, is to be found in mathematics as surely as poetry.",Bertrand Russell,Poetry
"From the beginnings of literature, poets and writers have based their narratives on crossing borders, on wandering, on exile, on encounters beyond the familiar. The stranger is an archetype in epic poetry, in novels. The tension between alienation and assimilation has always been a basic theme.",Jhumpa Lahiri,Poetry
Love is the poetry of the senses.,Honore de Balzac,Poetry
"Real friendship, like real poetry, is extremely rare - and precious as a pearl.",Tahar Ben Jelloun,Poetry
Rap is rhythm and poetry. Hip-hop is storytelling and poetry as well.,Ajay Naidu,Poetry
"In the total darkness, poetry is still there, and it is there for you.",Abbas Kiarostami,Poetry
"There's a reason poets often say, 'Poetry saved my life,' for often the blank page is the only one listening to the soul's suffering, the only one registering the story completely, the only one receiving all softly and without condemnation.",Clarissa Pinkola Estes,Poetry
Wine is bottled poetry.,Robert Louis Stevenson,Poetry
Poetry is truth in its Sunday clothes.,Joseph Roux,Poetry
Dancing is the poetry of the foot.,John Dryden,Poetry
Personality is everything in art and poetry.,Johann Wolfgang von Goethe,Poetry
"The world is full of poetry. The air is living with its spirit; and the waves dance to the music of its melodies, and sparkle in its brightness.",James Gates Percival,Poetry
"When truth has no burning, then it is philosophy, when it gets burning from the heart, it becomes poetry.",Muhammad Iqbal,Poetry
"I'm sorry, man, but I've got magic. I've got poetry in my fingertips. Most of the time - and this includes naps - I'm an F-18, bro. And I will destroy you in the air. I will deploy my ordinance to the ground.",Charlie Sheen,Poetry
"Ever since I was a kid, I've always been interested in the poetry of melancholy, if you like.",Steven Wilson,Poetry
"Poetry surrounds us everywhere, but putting it on paper is, alas, not so easy as looking at it.",Vincent Van Gogh,Poetry
Some say they see poetry in my paintings; I see only science.,Georges Seurat,Poetry
Money is everywhere but so is poetry. What we lack are the poets.,Federico Fellini,Poetry
"Poetry is emotion put into measure. The emotion must come by nature, but the measure can be acquired by art.",Thomas Hardy,Poetry
"When I began to listen to poetry, it's when I began to listen to the stones, and I began to listen to what the clouds had to say, and I began to listen to others. And I think, most importantly for all of us, then you begin to learn to listen to the soul, the soul of yourself in here, which is also the soul of everyone else.",Joy Harjo,Poetry
Money is a kind of poetry.,Wallace Stevens,Poetry
"The cloning of humans is on most of the lists of things to worry about from Science, along with behaviour control, genetic engineering, transplanted heads, computer poetry and the unrestrained growth of plastic flowers.",Lewis Thomas,Poetry
"Teach your children poetry; it opens the mind, lends grace to wisdom and makes the heroic virtues hereditary.",Walter Scott,Poetry
"In a meadow full of flowers, you cannot walk through and breathe those smells and see all those colors and remain angry. We have to support the beauty, the poetry, of life.",Jonas Mekas,Poetry
Shakespeare was a man who wrote poetry. I'm a man who writes poetry. Why not compare yourself to the best?,Jay-Z,Poetry
"In the French language, there is a great gulf between prose and poetry; in English, there is hardly any difference. It is a splendid privilege of the great literary languages Greek, Latin, and French that they possess a prose. English has not this privilege. There is no prose in English.",Victor Hugo,Poetry
Poetry begins where language starts: in the shadows and accidents of one person's life.,Eavan Boland,Poetry
"Poetry fettered, fetters the human race. Nations are destroyed or flourish in proportion as their poetry, painting, and music are destroyed or flourish.",William Blake,Poetry
"Let's say intelligence is your ability to compose poetry, symphonies, do art, math and science. Chimps can't do any of that, yet we share 99 percent DNA. Everything that we are, that distinguishes us from chimps, emerges from that one-percent difference.",Neil deGrasse Tyson,Poetry
"If poetry and the arts do anything, they can fortify your inner life, your inwardness.",Seamus Heaney,Poetry
"Poetry is simply the most beautiful, impressive, and widely effective mode of saying things.",Matthew Arnold,Poetry
Ye stars! which are the poetry of heaven!,Lord Byron,Poetry
"The gross heathenism of civilization has generally destroyed nature, and poetry, and all that is spiritual.",John Muir,Poetry
"When I get depressed, I try to get something for the terrible sadness that comes over me and create something in terms of poetry.",Spike Milligan,Poetry
"To design is much more than simply to assemble, to order, or even to edit: it is to add value and meaning, to illuminate, to simplify, to clarify, to modify, to dignify, to dramatize, to persuade, and perhaps even to amuse. To design is to transform prose into poetry.",Paul Rand,Poetry
A documentary film-maker can't help but use poetry to tell the story. I bring truth to my fiction. These things go hand in hand.,Chloe Zhao,Poetry
Poetry is as precise a thing as geometry.,Gustave Flaubert,Poetry
"In a way I spend my entire life stealing from everything - from the past, from cities I love, from where I grew up - grabbing things, taking not only from architecture but from Italy, art, writing, poetry, music.",Renzo Piano,Poetry
"Poetry is like a bird, it ignores all frontiers.",Yevgeny Yevtushenko,Poetry
"Sri Lanka is an island that everyone loves at some level inside themselves. A very special island that travellers, from Sinbad to Marco Polo, dreamed about. A place where the contours of the land itself forms a kind of sinewy poetry.",Romesh Gunesekera,Poetry
Poetry at its best can do you a lot of harm.,Sylvia Plath,Poetry
Poetry is life distilled.,Gwendolyn Brooks,Poetry
"There are certain things in which mediocrity is not to be endured, such as poetry, music, painting, public speaking.",Jean de la Bruyere,Poetry
"The beauty, the poetry of the fear in their eyes. I didn't mind going to jail for, what, five, six hours? It was absolutely worth it.",Johnny Depp,Poetry
"Poetry, at its best, is the language your soul would speak if you could teach your soul to speak.",Jim Harrison,Poetry
"The Bible is not just one book, but an entire library, with stories, songs, poetry, letters and history, as well as literature that might more obviously qualify as 'religious.'",John Drane,Poetry
"A novel is a work of poetry. In order to write it, one must have tranquility of spirit and of impression.",Fyodor Dostoevsky,Poetry
"Poetry isn't a profession, it's a way of life. It's an empty basket; you put your life into it and make something out of that.",Mary Oliver,Poetry
"Making love is, simply put, poetry in motion.",Wale,Poetry
"Istanbul is inspiring because it has its own code of architecture, literature, poetry, music.",Christian Louboutin,Poetry
"We make out of the quarrel with others, rhetoric, but of the quarrel with ourselves, poetry.",William Butler Yeats,Poetry
"Experience has taught me, when I am shaving of a morning, to keep watch over my thoughts, because, if a line of poetry strays into my memory, my skin bristles so that the razor ceases to act.",A. E. Housman,Poetry
"Painting (like poetry) chooses from universals what is most apposite. It brings together, in a single imaginary being, circumstances and characteristics which occur in nature in many different persons.",Francisco Goya,Poetry
"In all my work, in the movies I write, the lyrics, the poetry, the prose, the essays, I am saying that we may encounter many defeats - maybe it's imperative that we encounter the defeats - but we are much stronger than we appear to be and maybe much better than we allow ourselves to be. Human beings are more alike than unalike.",Maya Angelou,Poetry
"America's liberal arts universities have long been safe zones for leftist thinking, protected ivory towers for the pseudo-elite who earn their livings writing papers nobody reads about gender roles in the poetry of Maya Angelou.",Ben Shapiro,Poetry
Poetry is a political act because it involves telling the truth.,June Jordan,Poetry
"Poetry is often the art of overhearing yourself say things you didn't know you knew. It is a learned skill to force yourself to articulate your life, your present world or your possibilities for the future.",David Whyte,Poetry
"I don't like the word 'poetry,' and I don't like poetry readings, and I usually don't like poets. I would much prefer describing myself and what I do as: I'm kind of a curator, and I'm kind of a night-owl reporter.",Tom Waits,Poetry
"I grew up in this town, my poetry was born between the hill and the river, it took its voice from the rain, and like the timber, it steeped itself in the forests.",Pablo Neruda,Poetry
"Many great works of art, poetry, and music are inspired by astral memories. The desire to do noble, beautiful things here on Earth is also often a carryover of astral experiences between a person's earth lives.",Paramahansa Yogananda,Poetry
"Art is a form of experience of the person, the place, the history of the people, and as black people, we are different. We hail from Africa to America, so the culture is mixed, from the African to the American. We can't drop that. It's reflected in the music, the dance, the poetry, and the art.",Faith Ringgold,Poetry
"As a direct line to human feeling, empathic experience, genuine language and detail, poetry is everything that headline news is not. It takes us inside situations, helps us imagine life from more than one perspective, honors imagery and metaphor - those great tools of thought - and deepens our confidence in a meaningful world.",Naomi Shihab Nye,Poetry
Why should poetry have to make sense?,Charlie Chaplin,Poetry
"I think that there is nothing, not even crime, more opposed to poetry, to philosophy, ay, to life itself than this incessant business.",Henry David Thoreau,Poetry
"Every age has its own poetry; in every age the circumstances of history choose a nation, a race, a class to take up the torch by creating situations that can be expressed or transcended only through poetry.",Jean-Paul Sartre,Poetry
For poetry there exists neither large countries nor small. Its domain is in the heart of all men.,Giorgos Seferis,Poetry
Making poetry with a camera - that's the essence of what I do.,Denis Villeneuve,Poetry
"There's a great deal of poetry in working out how things work, cutting bits of metal, trying to mend stuff.",James May,Poetry
"Solitude gives birth to the original in us, to beauty unfamiliar and perilous - to poetry. But also, it gives birth to the opposite: to the perverse, the illicit, the absurd.",Thomas Mann,Poetry
"I was trying to pay the bills with poems, and it was easy to memorize my poems, because I'd be riding my bike in California trying to memorize them before going on stage at a poetry lounge.",Omari Hardwick,Poetry
"Poetry has done enough when it charms, but prose must also convince.",H. L. Mencken,Poetry
Poetry is a sort of homecoming.,Paul Celan,Poetry
"You can find poetry in your everyday life, your memory, in what people say on the bus, in the news, or just what's in your heart.",Carol Ann Duffy,Poetry
Poetry is man's rebellion against being what he is.,James Branch Cabell,Poetry
"I'm a failed poet. Reading poetry helps me to see the world differently, and I try to infuse my prose with figurative language, which goes against the trend in fiction.",Jesmyn Ward,Poetry
"As far as I am concerned, poetry is a statement concerning the human condition, composed in verse.",N. Scott Momaday,Poetry
"To me, art begets art. Painting feeds the eye just as poetry feeds the ear, which is to say that both feed the soul.",Susan Vreeland,Poetry
"Poetry. I read Walt Whitman, Emily Dickinson, and Jane Hirschfield. I like to read Billy Collins out loud.",Amy Tan,Poetry
"We're all just animals. That's all we are, and everything else is just an elaborate justification of our instincts. That's where music comes from. And romantic poetry. And bad novels.",Elvis Costello,Poetry
"Living here on Earth, we breathe the rhythms of a universe that extends infinitely above us. When resonant harmonies arise between this vast outer cosmos and the inner human cosmos, poetry is born.",Daisaku Ikeda,Poetry
"The poetry of heroism appeals irresistibly to those who don't go to a war, and even more to those whom the war is making enormously wealthy. It's always so.",Louis-Ferdinand Celine,Poetry
"I love Sufism as I love beautiful poetry, but it is not the answer. Sufism is like a mirage in the desert. It says to you, come and sit, relax and enjoy yourself for a while.",Naguib Mahfouz,Poetry
The genesis of a poem for me is usually a cluster of words. The only good metaphor I can think of is a scientific one: dipping a thread into a supersaturated solution to induce crystal formation. I don't think I solve problems in my poetry; I think I uncover the problems.,Margaret Atwood,Poetry
"Poetry is a beautiful way of spoiling prose, and the laborious art of exchanging plain sense for harmony.",Horace Walpole,Poetry
"Poetry must have something in it that is barbaric, vast and wild.",Denis Diderot,Poetry
Poetry and music are very good friends. Like mommies and daddies and strawberries and cream - they go together.,Nikki Giovanni,Poetry
"Poetry teaches us music, metaphor, condensation and specificity.",Walter Mosley,Poetry
"Write verse, not poetry. The public wants verse. If you have a talent for poetry, then don't by any means mother it, but try your hand at verse.",Robert W. Service,Poetry
"Cotton was a force of nature. There's a poetry to it, hoeing and growing cotton.",B. B. King,Poetry
"Clarity, clarity, surely clarity is the most beautiful thing in the world, A limited, limiting clarity I have not and never did have any motive of poetry But to achieve clarity.",George Oppen,Poetry
"Oratory is the masterful art. Poetry, painting, music, sculpture, architecture please, thrill, inspire - but oratory rules. The orator dominates those who hear him, convinces their reason, controls their judgment, compels their action. For the time being, he is master.",David Josiah Brewer,Poetry
"I liked painting and drawing, and I liked humanities mainly - poetry, literature - this speculative attitude toward life.",Rafael Moneo,Poetry
"High and low culture come together in all Post Modern art, and American poetry is not excluded from this.",Diane Wakoski,Poetry
The applause of his native land is the richest reward to which the patriot ever aspires. It is this for which 'he bears to live or dares to die.' It is the high incentive to those achievements which illustrate the page of history and give to poetry its brightest charm.,John Tyler,Poetry
"The Bible should be taught, but emphatically not as reality. It is fiction, myth, poetry, anything but reality. As such it needs to be taught because it underlies so much of our literature and our culture.",Richard Dawkins,Poetry
"I am an artist, you understand? For me, a picture is like poetry. When you make art, this is not coming from an intellectual place. It's coming from the deep side of your unconscious, your soul.",Alejandro Jodorowsky,Poetry
"In a war situation or where violence and injustice are prevalent, poetry is called upon to be something more than a thing of beauty.",Seamus Heaney,Poetry
